registered_voters,vote_datetime,actual_voters,num_candidates,votes_per_candidate_1,registered_per_candidate_1,votes_per_candidate_2,registered_per_candidate_2,votes_per_candidate_3,registered_per_candidate_3,votes_per_candidate_4,registered_per_candidate_4,votes_per_candidate_5,registered_per_candidate_5,votes_per_candidate_6,registered_per_candidate_6,votes_per_candidate_7,registered_per_candidate_7,votes_per_candidate_8,registered_per_candidate_8,votes_per_candidate_9,registered_per_candidate_9,votes_per_candidate_10,registered_per_candidate_10
4174,1755779712.411845,2112,8,286,513,266,519,243,526,293,511,260,532,254,504,263,541,247,528,0,0,0,0
3435,1755783312.411845,1630,2,837,1723,793,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,1755786912.411845,2678,8,305,497,330,490,338,514,361,503,370,494,294,478,339,485,341,542,0,0,0,0
2367,1755790512.411845,1862,8,210,290,233,307,248,293,246,277,235,299,217,323,233,286,240,292,0,0,0,0
2059,1755794112.411845,1141,7,170,279,138,308,172,289,183,257,167,310,154,298,157,318,0,0,0,0,0,0
1563,1755797712.411845,1419,1,1419,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,1755801312.411845,621,2,329,827,292,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4474,1755804912.411845,3003,2,1518,2248,1485,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510,1755808512.411845,1555,8,185,585,194,593,172,581,184,591,213,555,190,524,194,558,223,523,0,0,0,0
2327,1755812112.411845,951,5,195,445,169,464,182,475,221,493,184,450,0,0,0,0,0,0,0,0,0,0
1160,1755815712.411845,927,1,927,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,1755819312.411845,695,4,171,371,169,339,185,339,170,348,0,0,0,0,0,0,0,0,0,0,0,0
3074,1755822912.411845,1147,5,234,584,243,578,213,659,215,634,242,619,0,0,0,0,0,0,0,0,0,0
1980,1755826512.411845,1521,7,215,299,222,291,213,303,220,254,209,283,211,288,231,262,0,0,0,0,0,0
2906,1755830112.411845,1341,2,654,1429,687,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,1755833712.411845,621,10,74,150,57,157,52,163,72,151,76,148,68,135,57,173,57,152,64,167,44,178
1153,1755837312.411845,1000,3,323,358,341,387,336,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,1755840912.411845,821,7,101,241,137,222,100,194,126,228,114,234,132,228,111,203,0,0,0,0,0,0
1089,1755844512.411845,930,10,91,111,93,117,90,115,79,91,98,121,93,125,109,108,89,101,96,92,92,108
2167,1755848112.411845,1218,7,166,291,165,290,173,294,188,297,164,336,197,356,165,303,0,0,0,0,0,0
4141,1755851712.411845,3052,6,469,719,518,699,514,701,520,636,513,723,518,663,0,0,0,0,0,0,0,0
2682,1755855312.411845,2359,9,267,271,272,336,284,312,241,274,279,289,272,315,244,286,251,309,249,290,0,0
1062,1755858912.411845,534,6,90,182,92,172,80,167,96,179,90,175,86,187,0,0,0,0,0,0,0,0
1235,1755862512.411845,758,9,75,143,85,137,68,121,105,135,77,141,74,143,72,138,98,145,104,132,0,0
1280,1755866112.411845,578,3,190,428,208,440,180,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3885,1755869712.411845,3857,9,413,425,424,416,445,437,429,432,450,416,443,410,433,454,414,466,406,429,0,0
3075,1755873312.411845,1635,7,241,434,242,458,248,478,232,435,218,422,225,425,229,423,0,0,0,0,0,0
4901,1755876912.411845,3867,8,510,595,493,612,539,619,450,625,477,637,467,631,473,596,458,586,0,0,0,0
4744,1755880512.411845,2324,2,1166,2412,1158,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2191,1755884112.411845,977,5,192,424,199,414,198,454,188,440,200,459,0,0,0,0,0,0,0,0,0,0
3621,1755887712.411845,1217,9,152,360,142,420,136,402,126,400,144,415,147,388,124,414,133,396,113,426,0,0
3853,1755891312.411845,3087,4,774,932,779,988,778,985,756,948,0,0,0,0,0,0,0,0,0,0,0,0
2683,1755894912.411845,814,10,87,294,88,271,82,248,76,273,71,259,73,262,90,256,83,294,75,258,89,268
4877,1755898512.411845,1848,7,258,739,278,726,278,706,252,711,253,636,263,702,266,657,0,0,0,0,0,0
3332,1755902112.411845,1427,8,193,415,167,455,186,426,177,427,172,394,164,423,175,394,193,398,0,0,0,0
4675,1755905712.411845,4456,8,552,583,590,610,531,601,553,591,568,549,541,559,551,604,570,578,0,0,0,0
4798,1755909312.411845,1566,1,1566,4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4953,1755912912.411845,4671,1,4671,4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3573,1755916512.411845,1591,8,187,444,193,433,214,439,200,456,216,457,197,436,184,440,200,468,0,0,0,0
4776,1755920112.411845,4298,5,891,955,865,970,836,938,846,937,860,976,0,0,0,0,0,0,0,0,0,0
1364,1755923712.411845,890,9,104,163,88,151,103,138,108,165,95,161,86,134,90,123,118,165,98,164,0,0
4853,1755927312.411845,1789,5,338,1001,355,979,353,981,374,955,369,937,0,0,0,0,0,0,0,0,0,0
1038,1755930912.411845,837,8,107,132,103,129,120,135,108,134,114,132,99,126,96,125,90,125,0,0,0,0
4211,1755934512.411845,3497,10,345,410,334,448,344,425,336,386,360,437,373,432,345,441,364,420,345,393,351,419
2418,1755938112.411845,1679,2,848,1190,831,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2625,1755941712.411845,1700,6,331,454,251,437,275,442,286,462,277,388,280,442,0,0,0,0,0,0,0,0
3180,1755945312.411845,1510,10,149,305,134,329,142,302,143,317,162,304,156,324,152,295,141,345,164,342,167,317
4104,1755948912.411845,3357,3,1139,1428,1097,1344,1121,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,1755952512.411845,3357,4,849,978,803,940,807,927,898,999,0,0,0,0,0,0,0,0,0,0,0,0
4056,1755956112.411845,2008,8,243,485,245,527,236,534,280,525,228,490,262,521,271,478,243,496,0,0,0,0
2389,1755959712.411845,2234,6,363,422,359,410,375,379,383,380,368,403,386,395,0,0,0,0,0,0,0,0
2328,1755963312.411845,1014,3,347,724,320,803,347,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,1755966912.411845,751,10,74,111,77,109,80,121,76,131,85,105,75,127,69,127,68,128,73,133,74,115
1793,1755970512.411845,636,7,83,249,100,241,85,275,89,260,88,273,90,248,101,247,0,0,0,0,0,0
3891,1755974112.411845,2028,9,236,426,231,430,225,422,204,433,205,433,233,474,236,392,221,439,237,442,0,0
2246,1755977712.411845,1880,2,937,1125,943,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,1755981312.411845,727,2,354,673,373,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,1755984912.411845,539,2,283,738,256,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,1755988512.411845,1133,1,1133,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,1755992112.411845,1462,8,183,193,191,217,195,212,170,189,173,191,180,204,176,192,194,189,0,0,0,0
2440,1755995712.411845,1036,1,1036,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3338,1755999312.411845,2964,6,474,561,512,554,505,561,504,547,505,535,464,580,0,0,0,0,0,0,0,0
2147,1756002912.411845,1042,9,106,220,115,244,120,231,105,225,125,261,108,246,116,257,117,246,130,217,0,0
2300,1756006512.411845,1415,9,162,246,154,249,171,257,149,253,152,236,157,264,171,257,145,278,154,260,0,0
3668,1756010112.411845,2105,4,495,894,535,889,537,933,538,952,0,0,0,0,0,0,0,0,0,0,0,0
4301,1756013712.411845,3025,2,1554,2181,1471,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,1756017312.411845,1371,2,667,1091,704,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,1756020912.411845,950,9,103,183,105,188,101,191,116,183,101,172,104,202,96,192,109,167,115,183,0,0
3725,1756024512.411845,1710,3,587,1209,531,1280,592,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,1756028112.411845,1300,3,417,1260,444,1326,439,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3428,1756031712.411845,2988,6,492,583,502,548,468,561,501,609,522,539,503,588,0,0,0,0,0,0,0,0
3825,1756035312.411845,3539,2,1764,1948,1775,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1756038912.411845,676,9,77,218,82,224,74,214,74,218,62,237,68,213,88,244,73,215,78,199,0,0
1702,1756042512.411845,817,7,118,232,130,253,108,247,117,228,121,242,105,231,118,269,0,0,0,0,0,0
3134,1756046112.411845,3088,8,385,397,360,398,393,403,352,358,407,382,388,415,424,396,379,385,0,0,0,0
4453,1756049712.411845,4218,9,484,495,429,438,466,502,518,486,468,539,457,478,497,491,447,521,452,503,0,0
1234,1756053312.411845,714,6,123,226,109,205,106,201,136,212,123,196,117,194,0,0,0,0,0,0,0,0
2899,1756056912.411845,2153,3,707,961,712,934,734,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613,1756060512.411845,3339,9,383,434,354,407,369,404,378,401,340,378,398,419,368,382,365,399,384,389,0,0
1431,1756064112.411845,1113,4,262,348,283,369,267,369,301,345,0,0,0,0,0,0,0,0,0,0,0,0
2070,1756067712.411845,1019,6,193,344,160,352,172,334,143,321,161,358,190,361,0,0,0,0,0,0,0,0
1685,1756071312.411845,692,9,75,172,81,218,73,195,78,177,72,178,78,181,67,201,87,181,81,182,0,0
4779,1756074912.411845,2327,10,217,474,230,463,234,472,236,524,241,489,220,489,250,463,212,496,228,436,259,473
3727,1756078512.411845,3223,10,331,350,314,386,323,397,331,389,310,391,325,367,315,351,314,354,325,355,335,387
4958,1756082112.411845,4574,1,4574,4958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,1756085712.411845,1484,5,280,313,326,354,269,288,285,294,324,325,0,0,0,0,0,0,0,0,0,0
4448,1756089312.411845,2752,2,1366,2223,1386,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2154,1756092912.411845,1233,10,129,206,112,215,121,199,110,216,132,242,133,220,133,230,115,205,125,218,123,203
1500,1756096512.411845,1289,3,422,522,454,500,413,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2659,1756100112.411845,2195,9,231,308,230,294,268,300,254,280,253,279,256,320,227,300,256,287,220,291,0,0
4516,1756103712.411845,3282,4,836,1132,858,1185,788,1078,800,1121,0,0,0,0,0,0,0,0,0,0,0,0
2846,1756107312.411845,2331,4,585,715,581,703,587,715,578,713,0,0,0,0,0,0,0,0,0,0,0,0
1729,1756110912.411845,800,8,99,231,106,204,105,206,87,216,113,239,97,195,104,214,89,224,0,0,0,0
4628,1756114512.411845,1388,8,179,568,194,592,184,567,174,554,147,577,177,630,172,591,161,549,0,0,0,0
2866,1756118112.411845,2855,10,305,303,284,283,271,305,273,286,298,285,276,258,283,276,292,280,280,302,293,288
4739,1756121712.411845,4401,7,595,701,650,640,603,677,663,667,617,664,627,696,646,694,0,0,0,0,0,0
3495,1756125312.411845,2305,3,734,1197,799,1085,772,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4158,1756128912.411845,3940,4,958,1072,1004,1001,1043,1027,935,1058,0,0,0,0,0,0,0,0,0,0,0,0
4180,1756132512.411845,2015,1,2015,4180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,1756136112.411845,784,5,181,275,151,264,147,256,147,286,158,259,0,0,0,0,0,0,0,0,0,0
3111,1756139712.411845,2073,2,1059,1571,1014,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3442,1756143312.411845,2542,5,500,699,500,664,558,694,503,696,481,689,0,0,0,0,0,0,0,0,0,0
2714,1756146912.411845,1787,2,895,1357,892,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,1756150512.411845,395,9,45,116,45,112,48,129,31,131,54,127,38,136,47,132,46,152,41,127,0,0
2089,1756154112.411845,1561,1,1561,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3422,1756157712.411845,1187,10,117,327,111,361,112,346,135,355,124,354,125,340,128,357,109,340,113,305,113,337
4632,1756161312.411845,2853,1,2853,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4065,1756164912.411845,3103,10,322,416,256,403,347,424,299,413,329,403,318,398,275,399,323,392,315,399,319,418
2378,1756168512.411845,2039,2,1025,1145,1014,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,1756172112.411845,819,5,157,391,163,390,159,436,182,385,158,434,0,0,0,0,0,0,0,0,0,0
1355,1756175712.411845,938,3,317,431,296,441,325,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4851,1756179312.411845,4708,4,1149,1197,1119,1227,1252,1209,1188,1218,0,0,0,0,0,0,0,0,0,0,0,0
2759,1756182912.411845,2351,9,266,278,251,276,262,325,274,318,267,317,254,333,256,301,268,305,253,306,0,0
3611,1756186512.411845,1298,6,212,624,204,598,225,590,232,593,197,615,228,591,0,0,0,0,0,0,0,0
2757,1756190112.411845,829,6,149,419,121,489,160,463,145,444,149,515,105,427,0,0,0,0,0,0,0,0
1882,1756193712.411845,1360,2,702,895,658,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,1756197312.411845,816,8,107,211,100,207,107,190,89,185,100,184,111,173,102,182,100,187,0,0,0,0
1684,1756200912.411845,620,4,166,448,136,409,157,425,161,402,0,0,0,0,0,0,0,0,0,0,0,0
3635,1756204512.411845,3419,3,1141,1239,1163,1230,1115,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218,1756208112.411845,1376,7,182,630,206,574,214,602,178,610,183,589,212,575,201,638,0,0,0,0,0,0
2638,1756211712.411845,1899,4,487,647,458,660,487,652,467,679,0,0,0,0,0,0,0,0,0,0,0,0
2909,1756215312.411845,2635,7,360,428,402,372,379,407,359,416,374,403,374,456,387,427,0,0,0,0,0,0
4854,1756218912.411845,4623,7,647,706,674,683,674,708,649,663,665,662,696,684,618,748,0,0,0,0,0,0
3535,1756222512.411845,1137,10,106,336,117,379,121,354,121,340,125,350,127,315,129,383,94,359,109,353,88,366
1725,1756226112.411845,713,2,355,909,358,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3438,1756229712.411845,1245,7,176,452,175,501,178,504,193,511,207,481,157,495,159,494,0,0,0,0,0,0
3277,1756233312.411845,3050,9,322,326,350,390,352,372,382,331,299,352,355,373,324,386,333,374,333,373,0,0
3704,1756236912.411845,1952,2,937,1879,1015,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,1756240512.411845,1095,4,272,592,259,610,289,607,275,623,0,0,0,0,0,0,0,0,0,0,0,0
3040,1756244112.411845,2301,5,429,590,471,614,457,596,487,622,457,618,0,0,0,0,0,0,0,0,0,0
2014,1756247712.411845,1206,8,144,253,126,230,169,255,147,248,157,277,148,246,162,239,153,266,0,0,0,0
1973,1756251312.411845,1524,2,748,970,776,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,1756254912.411845,2977,2,1536,1521,1441,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4515,1756258512.411845,3684,8,482,562,434,587,441,572,456,547,478,572,465,568,486,553,442,554,0,0,0,0
2629,1756262112.411845,1449,6,244,449,224,448,245,410,243,452,250,440,243,430,0,0,0,0,0,0,0,0
1018,1756265712.411845,499,10,52,109,50,111,40,113,65,99,43,93,61,103,52,108,31,99,52,100,53,83
1205,1756269312.411845,1192,8,144,166,150,147,145,136,138,158,138,145,146,146,169,154,162,153,0,0,0,0
4111,1756272912.411845,2187,2,1078,2090,1109,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3640,1756276512.411845,3535,3,1169,1254,1162,1202,1204,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,1756280112.411845,723,4,189,285,173,290,178,292,183,288,0,0,0,0,0,0,0,0,0,0,0,0
4759,1756283712.411845,4376,9,468,550,497,557,518,489,447,532,478,494,478,547,503,531,503,521,484,538,0,0
2596,1756287312.411845,2342,3,777,860,795,904,770,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780,1756290912.411845,4696,5,944,932,960,947,911,981,952,988,929,932,0,0,0,0,0,0,0,0,0,0
2874,1756294512.411845,1694,7,263,429,222,409,247,426,249,402,248,384,245,429,220,395,0,0,0,0,0,0
2204,1756298112.411845,1899,8,257,297,237,273,217,286,237,288,236,269,240,267,237,263,238,261,0,0,0,0
1191,1756301712.411845,449,8,56,152,57,141,55,163,64,130,53,165,58,156,46,149,60,135,0,0,0,0
3231,1756305312.411845,1194,9,132,363,131,340,123,378,133,393,139,334,142,335,120,344,145,363,129,381,0,0
1719,1756308912.411845,920,6,177,289,145,303,155,292,139,283,146,271,158,281,0,0,0,0,0,0,0,0
1910,1756312512.411845,1869,8,228,232,228,245,237,237,258,244,228,261,224,248,234,212,232,231,0,0,0,0
3355,1756316112.411845,2723,1,2723,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,1756319712.411845,1358,2,678,1028,680,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1756323312.411845,1556,8,201,229,188,256,191,255,182,230,191,255,200,267,213,261,190,263,0,0,0,0
2209,1756326912.411845,913,3,301,788,315,750,297,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3417,1756330512.411845,1947,9,207,372,219,396,211,370,225,385,196,369,199,382,230,385,246,363,214,395,0,0
2788,1756334112.411845,2002,10,197,296,213,320,190,256,222,261,170,290,208,273,220,289,205,239,180,311,197,253
4566,1756337712.411845,2042,7,295,629,308,627,321,643,265,694,263,641,294,673,296,659,0,0,0,0,0,0
2083,1756341312.411845,629,5,142,387,129,441,113,416,139,445,106,394,0,0,0,0,0,0,0,0,0,0
2938,1756344912.411845,2820,4,706,677,694,776,699,744,721,741,0,0,0,0,0,0,0,0,0,0,0,0
1807,1756348512.411845,728,4,193,463,175,442,170,454,190,448,0,0,0,0,0,0,0,0,0,0,0,0
3780,1756352112.411845,1556,2,776,1882,780,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2657,1756355712.411845,1290,4,314,693,337,683,334,645,305,636,0,0,0,0,0,0,0,0,0,0,0,0
3463,1756359312.411845,1763,8,216,435,206,426,208,459,207,445,222,401,236,456,243,430,225,411,0,0,0,0
3452,1756362912.411845,1719,7,244,476,261,517,228,456,261,527,263,519,220,471,242,486,0,0,0,0,0,0
1016,1756366512.411845,366,1,366,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,1756370112.411845,1215,5,244,276,250,293,257,269,234,257,230,280,0,0,0,0,0,0,0,0,0,0
4969,1756373712.411845,4455,2,2231,2472,2224,2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
